sample_id,price,ipq,title_length,title_word_count,desc_length,desc_word_count,has_description,capital_ratio,number_count,multipack_size,has_multipack,weight_value,has_weight,volume_value,has_volume,total_numbers_in_title,total_quantity,log_total_quantity,log_weight,log_volume,brand_frequency,brand_tier,is_popular_brand,brand_name_length,brand_in_title,category_size,is_large_category,brand_category_frequency,quantity_category_ratio,tier_multipack_interaction,brand_tier_quantity,weight_brand_interaction,premium_keyword_count,has_premium_keywords,value_keyword_count,quality_keyword_count,premium_score,value_score,is_travel_size,is_family_size,is_multipack,is_standard_size,special_char_count,has_parentheses,has_ampersand,title_complexity,numeric_density,category_in_title
254947,15.99,1,42,7,23,4,1,0.11904761904761904,1,1,0,12.0,1,0.0,0,1,1,0.6931471805599453,2.5649493574615367,0.0,18,1,0,8,1,32142,1,9,0.1130498703911479,0,0.6931471805599453,2.5649493574615367,0,0,0,0,1,0,0,0,0,1,0,0,0,7.0,0.023255813953488372,0
283223,33.5,1,67,11,0,0,0,0.13432835820895522,2,2,1,0.0,0,0.0,0,2,2,1.0986122886681098,0.0,0.0,47,2,0,8,1,32142,1,22,0.2260997407822958,2,2.1972245773362196,0.0,0,0,0,0,2,1,0,0,1,1,3,1,0,3.6666666666666665,0.029411764705882353,0
21740,6.98,1,113,19,22,4,1,0.20353982300884957,1,4,1,0.0,0,0.0,0,1,4,1.6094379124341003,0.0,0.0,4,1,0,4,1,3281,0,4,0.46814582292930007,1,1.6094379124341003,0.0,0,0,0,0,1,1,0,0,1,1,1,0,0,2.375,0.008771929824561403,0
170292,4.255,1,57,10,24,5,1,0.14035087719298245,2,12,1,16.0,1,0.0,0,2,12,2.5649493574615367,2.833213344056216,0.0,16,1,0,8,1,32142,1,15,1.3565984446937749,1,2.5649493574615367,2.833213344056216,1,1,0,0,2,1,0,0,1,1,2,1,0,5.0,0.034482758620689655,0
71500,1.67,1,175,23,0,0,0,0.18857142857142858,2,12,1,0.0,0,28.0,1,2,12,2.5649493574615367,0.0,3.367295829986474,34,1,0,9,1,17196,1,17,1.2581901991988147,1,2.5649493574615367,0.0,0,0,0,0,1,1,0,0,1,1,4,1,0,3.8333333333333335,0.011363636363636364,1
266475,81.44,1,28,4,0,0,0,0.14285714285714285,0,1,0,0.0,0,0.0,0,0,1,0.6931471805599453,0.0,0.0,439,3,1,7,1,32142,1,202,0.1130498703911479,0,2.0794415416798357,0.0,1,1,0,0,4,0,0,0,0,1,0,0,0,2.0,0.0,0
88520,56.72,1,47,9,0,0,0,0.1702127659574468,3,6,1,10.0,1,0.0,0,2,6,1.9459101490553132,2.3978952727983707,0.0,4,1,0,9,1,1404,0,2,1.3399077461428346,1,1.9459101490553132,2.3978952727983707,0,0,0,0,1,1,0,0,1,1,2,1,0,9.0,0.0625,0
125583,5.47,1,122,22,0,0,0,0.1885245901639344,2,12,1,16.0,1,0.0,0,2,12,2.5649493574615367,2.833213344056216,0.0,104,2,0,4,1,3281,0,38,1.4044374687879002,2,5.1298987149230735,5.666426688112432,0,0,0,0,2,1,0,0,1,1,2,1,0,4.4,0.016260162601626018,0
271423,109.97,1,148,23,25,4,1,0.0945945945945946,4,5,1,11.0,1,11.0,1,4,5,1.791759469228055,2.4849066497880004,2.4849066497880004,19,1,0,15,1,3281,0,19,0.5851822786616251,1,1.791759469228055,2.4849066497880004,1,1,1,0,2,2,0,0,1,1,7,1,1,5.75,0.026845637583892617,1
260842,50.99,1,199,32,23,4,1,0.1306532663316583,2,3,1,0.0,0,0.0,0,2,3,1.3862943611198906,0.0,0.0,5,1,0,5,1,17196,1,5,0.3145475497997037,1,1.3862943611198906,0.0,2,1,0,0,3,1,0,0,1,1,5,1,1,8.0,0.01,0
267410,98.99,1,150,27,24,4,1,0.15333333333333332,1,1,0,25.0,1,0.0,0,1,1,0.6931471805599453,3.258096538021482,0.0,985,3,1,4,1,32142,1,333,0.1130498703911479,0,2.0794415416798357,9.774289614064447,0,0,0,0,3,0,0,0,0,1,2,0,0,4.5,0.006622516556291391,0
201749,32.09,1,182,31,0,0,0,0.2087912087912088,2,20,1,24.0,1,0.0,0,2,20,3.044522437723423,3.2188758248682006,0.0,31,1,0,5,1,3281,0,11,2.3407291146465004,1,3.044522437723423,3.2188758248682006,1,1,0,0,2,1,1,0,1,0,1,0,0,3.4444444444444446,0.01092896174863388,0
194856,12.32,1,147,21,0,0,0,0.17687074829931973,1,1,0,35.0,1,0.0,0,1,1,0.6931471805599453,3.58351893845611,0.0,128,3,1,8,1,3281,0,18,0.11703645573232502,0,2.0794415416798357,10.75055681536833,0,0,0,0,3,0,0,0,0,1,1,0,0,3.0,0.006756756756756757,0
81813,4.12,1,32,7,0,0,0,0.65625,2,1,0,14.7,1,0.0,0,1,1,0.6931471805599453,2.7536607123542622,0.0,17,1,0,4,1,32142,1,17,0.1130498703911479,0,0.6931471805599453,2.7536607123542622,0,0,0,0,1,0,0,0,0,1,0,0,0,3.5,0.06060606060606061,0
234305,16.395,1,63,12,0,0,0,0.15873015873015872,2,12,1,0.0,0,20.0,1,2,12,2.5649493574615367,0.0,3.044522437723423,50,2,0,7,1,17196,1,33,1.2581901991988147,2,5.1298987149230735,0.0,0,0,0,0,2,1,0,0,1,1,2,1,0,6.0,0.03125,0
154376,17.095,1,57,9,23,4,1,0.12280701754385964,1,1,0,14.0,1,0.0,0,1,1,0.6931471805599453,2.70805020110221,0.0,125,3,1,6,1,32142,1,71,0.1130498703911479,0,2.0794415416798357,8.12415060330663,0,0,0,0,3,0,0,0,0,1,0,0,0,9.0,0.017241379310344827,0
202016,15.5,1,51,8,22,4,1,0.13725490196078433,2,1,0,4.5,1,0.0,0,1,1,0.6931471805599453,1.7047480922384253,0.0,21,1,0,6,1,32142,1,4,0.1130498703911479,0,0.6931471805599453,1.7047480922384253,0,0,0,0,1,0,0,0,0,1,2,1,0,8.0,0.038461538461538464,0
116291,20.61,1,77,13,0,0,0,0.11688311688311688,3,1,0,14.1,1,0.0,0,2,1,0.6931471805599453,2.714694743820879,0.0,17,1,0,5,1,17196,1,11,0.10484918326656789,0,0.6931471805599453,2.714694743820879,0,0,0,0,1,0,0,0,1,1,2,1,0,13.0,0.038461538461538464,0
234372,1.58,1,53,9,0,0,0,0.1320754716981132,2,1,0,19.75,1,0.0,0,1,1,0.6931471805599453,3.0325462466767075,0.0,342,3,1,2,1,32142,1,200,0.1130498703911479,0,2.0794415416798357,9.097638740030122,0,0,0,0,3,0,0,0,0,1,0,0,0,4.5,0.037037037037037035,0
116974,19.845,1,59,8,23,5,1,0.13559322033898305,1,1,0,0.0,0,100.0,1,1,1,0.6931471805599453,0.0,4.61512051684126,47,2,0,6,1,32142,1,27,0.1130498703911479,0,1.3862943611198906,0.0,0,0,0,0,2,0,0,0,0,1,3,1,0,4.0,0.016666666666666666,0
178219,13.49,1,78,11,0,0,0,0.1282051282051282,2,1,0,0.64,1,0.0,0,1,1,0.6931471805599453,0.49469624183610705,0.0,72,2,0,10,1,32142,1,61,0.1130498703911479,0,1.3862943611198906,0.9893924836722141,0,0,0,0,2,0,0,0,0,1,0,0,0,3.6666666666666665,0.02531645569620253,0
248217,12.78,1,92,15,22,4,1,0.25,1,1,0,7.0,1,0.0,0,1,1,0.6931471805599453,2.0794415416798357,0.0,230,3,1,9,1,32142,1,208,0.1130498703911479,0,2.0794415416798357,6.238324625039507,0,0,0,0,3,0,0,0,0,1,0,0,0,15.0,0.010752688172043012,0
22148,64.99,1,169,28,23,4,1,0.1242603550295858,1,1,0,5.0,1,5.0,1,1,1,0.6931471805599453,1.791759469228055,1.791759469228055,42,2,0,4,1,10480,0,17,0.06666793895557803,0,1.3862943611198906,3.58351893845611,1,1,1,0,3,1,0,0,0,1,4,0,0,28.0,0.0058823529411764705,0
7575,30.78,1,54,10,0,0,0,0.14814814814814814,3,4,1,1.0,1,0.0,0,2,4,1.6094379124341003,0.6931471805599453,0.0,64,2,0,7,1,32142,1,24,0.4521994815645916,2,3.2188758248682006,1.3862943611198906,0,0,0,0,2,1,0,0,1,1,2,1,0,5.0,0.05454545454545454,0
100323,23.99,1,52,8,0,0,0,0.09615384615384616,0,1,0,0.0,0,0.0,0,0,1,0.6931471805599453,0.0,0.0,93,2,0,6,1,32142,1,68,0.1130498703911479,0,1.3862943611198906,0.0,0,0,0,0,2,0,0,0,1,1,0,0,0,8.0,0.0,0
109029,12.85,1,53,10,23,4,1,0.1320754716981132,2,2,1,1.0,1,0.0,0,2,2,1.0986122886681098,0.6931471805599453,0.0,20,1,0,8,1,32142,1,18,0.2260997407822958,1,1.0986122886681098,0.6931471805599453,0,0,0,0,1,1,0,0,1,1,2,1,0,5.0,0.037037037037037035,0
38571,9.27,1,64,10,0,0,0,0.125,2,6,1,0.0,0,0.0,0,2,6,1.9459101490553132,0.0,0.0,76,2,0,9,1,32142,1,36,0.6782992223468874,2,3.8918202981106265,0.0,1,1,0,0,3,1,0,0,1,1,3,1,0,5.0,0.03076923076923077,0
56340,29.96,1,51,10,0,0,0,0.11764705882352941,3,8,1,15.5,1,0.0,0,2,8,2.1972245773362196,2.803360380906535,0.0,91,2,0,6,1,32142,1,48,0.9043989631291832,2,4.394449154672439,5.60672076181307,1,1,0,0,3,1,0,0,1,1,2,1,0,10.0,0.057692307692307696,0
196576,124.52,1,61,12,23,4,1,0.14754098360655737,3,3,1,4.0,1,0.0,0,3,3,1.3862943611198906,1.6094379124341003,0.0,3,1,0,5,1,17196,1,3,0.3145475497997037,1,1.3862943611198906,1.6094379124341003,1,1,0,0,2,1,0,0,1,1,7,1,0,6.0,0.04838709677419355,0
274881,16.99,1,61,11,0,0,0,0.08196721311475409,3,2,1,32.0,1,0.0,0,3,2,1.0986122886681098,3.4965075614664802,0.0,311,3,1,9,1,17196,1,241,0.20969836653313578,3,3.295836866004329,10.489522684399441,0,0,0,0,3,1,0,0,1,1,2,1,0,5.5,0.04838709677419355,0
166681,5.49,1,53,8,0,0,0,0.1320754716981132,1,20,1,0.0,0,0.0,0,1,20,3.044522437723423,0.0,0.0,153,3,1,9,1,17196,1,151,2.096983665331358,3,9.13356731317027,0.0,0,0,0,0,3,1,0,0,1,1,0,0,0,2.6666666666666665,0.018518518518518517,0
95469,12.23,1,131,21,0,0,0,0.11450381679389313,5,36,1,0.0,0,0.0,0,4,36,3.6109179126442243,0.0,0.0,105,2,0,9,1,17196,1,105,3.774570597596444,2,7.221835825288449,0.0,0,0,0,0,2,1,0,0,1,1,3,1,0,5.25,0.03787878787878788,0
255445,6.99,1,94,14,0,0,0,0.11702127659574468,3,1,0,12.0,1,0.0,0,3,1,0.6931471805599453,2.5649493574615367,0.0,43,2,0,3,1,17196,1,30,0.10484918326656789,0,1.3862943611198906,5.1298987149230735,0,0,0,0,2,0,0,0,0,1,2,1,0,4.666666666666667,0.031578947368421054,0
259866,58.13,1,161,26,0,0,0,0.13664596273291926,1,1,0,0.0,0,0.0,0,1,1,0.6931471805599453,0.0,0.0,51,2,0,7,1,32142,1,51,0.1130498703911479,0,1.3862943611198906,0.0,0,0,0,1,3,0,0,0,0,1,2,0,0,5.2,0.006172839506172839,1
59900,11.98,1,160,27,23,4,1,0.15625,2,1,0,1.25,1,1.25,1,1,1,0.6931471805599453,0.8109302162163288,0.8109302162163288,9,1,0,4,1,1451,0,0,0.15281727224855185,0,0.6931471805599453,0.8109302162163288,3,1,0,1,5,0,0,0,0,1,2,0,1,4.5,0.012422360248447204,0
61692,29.94,1,38,6,0,0,0,0.13157894736842105,2,1,0,14.0,1,0.0,0,2,1,0.6931471805599453,2.70805020110221,0.0,7,1,0,7,1,1404,0,2,0.2233179576904724,0,0.6931471805599453,2.70805020110221,0,0,0,0,1,0,0,0,0,1,1,0,0,2.0,0.05128205128205128,0
56211,7.56,1,77,14,0,0,0,0.14285714285714285,1,6,1,0.0,0,0.0,0,1,6,1.9459101490553132,0.0,0.0,64,2,0,6,1,10480,0,35,0.4000076337334682,2,3.8918202981106265,0.0,0,0,1,0,2,2,0,1,1,0,1,0,1,7.0,0.01282051282051282,0
140715,34.57,1,144,21,0,0,0,0.125,2,1,0,10.5,1,0.0,0,1,1,0.6931471805599453,2.4423470353692043,0.0,1,1,0,7,1,17196,1,1,0.10484918326656789,0,0.6931471805599453,2.4423470353692043,0,0,0,1,2,0,0,0,0,1,1,0,1,3.0,0.013793103448275862,0
186165,2.54,1,91,17,0,0,0,0.13186813186813187,3,1,0,4.25,1,0.0,0,2,1,0.6931471805599453,1.6582280766035324,0.0,1,1,0,7,1,17196,1,1,0.10484918326656789,0,0.6931471805599453,1.6582280766035324,0,0,0,0,1,0,0,0,0,1,4,0,1,17.0,0.03260869565217391,0
272258,4.42,1,29,5,0,0,0,0.13793103448275862,1,1,0,0.0,0,0.0,0,1,1,0.6931471805599453,0.0,0.0,10,1,0,3,1,17196,1,10,0.10484918326656789,0,0.6931471805599453,0.0,0,0,0,0,1,0,0,0,0,1,1,0,0,2.5,0.03333333333333333,0
191961,0.94,1,51,8,23,5,1,0.13725490196078433,2,1,0,0.0,0,12.5,1,1,1,0.6931471805599453,0.0,2.6026896854443837,8,1,0,10,1,32142,1,6,0.1130498703911479,0,0.6931471805599453,0.0,0,0,0,0,1,0,0,0,0,1,0,0,0,2.6666666666666665,0.038461538461538464,0
245797,6.69,1,67,12,0,0,0,0.43283582089552236,2,1,0,5.5,1,0.0,0,1,1,0.6931471805599453,1.8718021769015913,0.0,636,3,1,3,1,10480,0,69,0.06666793895557803,0,2.0794415416798357,5.6154065307047745,0,0,0,0,3,0,0,0,0,1,0,0,0,6.0,0.029411764705882353,0
278964,30.475,1,45,10,0,0,0,0.13333333333333333,3,1,1,48.0,1,3.0,1,3,1,0.6931471805599453,3.8918202981106265,1.3862943611198906,3,1,0,8,1,32142,1,3,0.1130498703911479,1,0.6931471805599453,3.8918202981106265,0,0,0,0,1,1,0,0,1,1,4,1,0,5.0,0.06521739130434782,0
133751,34.925,1,163,30,23,4,1,0.20245398773006135,3,1,0,0.0,0,0.0,0,3,1,0.6931471805599453,0.0,0.0,2,1,0,5,1,17196,1,2,0.10484918326656789,0,0.6931471805599453,0.0,0,0,0,0,1,0,0,0,0,1,3,0,1,15.0,0.018292682926829267,0
188740,2.99,1,80,14,23,4,1,0.15,2,50,1,0.0,0,0.0,0,2,50,3.9318256327243257,0.0,0.0,257,3,1,7,1,17196,1,222,5.242459163328395,3,11.795476898172977,0.0,0,0,0,0,3,1,0,0,1,1,3,1,0,7.0,0.024691358024691357,0
216435,20.79,1,67,11,23,4,1,0.11940298507462686,2,240,1,1.0,1,0.0,0,2,240,5.484796933490655,0.6931471805599453,0.0,101,2,0,6,1,10480,0,97,16.000305349338728,2,10.96959386698131,1.3862943611198906,0,0,0,0,2,1,0,0,1,1,0,0,0,3.6666666666666665,0.029411764705882353,0
147811,57.7,1,68,12,24,4,1,0.11764705882352941,3,3,1,0.0,0,0.0,0,3,3,1.3862943611198906,0.0,0.0,27,1,0,10,1,17196,1,27,0.3145475497997037,1,1.3862943611198906,0.0,0,0,0,0,1,1,0,0,1,1,4,1,0,6.0,0.043478260869565216,0
48188,24.99,1,32,5,23,4,1,0.03125,2,1,0,35.3,1,0.0,0,1,1,0.6931471805599453,3.591817741270805,0.0,10,1,0,8,1,32142,1,10,0.1130498703911479,0,0.6931471805599453,3.591817741270805,0,0,0,0,1,0,0,0,0,1,0,0,0,5.0,0.06060606060606061,0
260170,17.634999999999998,1,148,24,23,4,1,0.12837837837837837,1,1,0,2.0,1,0.0,0,1,1,0.6931471805599453,1.0986122886681098,0.0,985,3,1,4,1,3281,0,371,0.11703645573232502,0,2.0794415416798357,3.295836866004329,0,0,1,0,3,1,0,0,0,1,1,0,0,2.1818181818181817,0.006711409395973154,0
24701,10.49,1,62,10,22,4,1,0.14516129032258066,1,1,0,8.0,1,0.0,0,1,1,0.6931471805599453,2.1972245773362196,0.0,88,2,0,7,1,17196,1,73,0.10484918326656789,0,1.3862943611198906,4.394449154672439,0,0,0,0,2,0,0,0,0,1,0,0,0,10.0,0.015873015873015872,0
65474,63.99,1,41,6,23,4,1,0.12195121951219512,1,1,0,4.0,1,0.0,0,1,1,0.6931471805599453,1.6094379124341003,0.0,4,1,0,10,1,32142,1,2,0.1130498703911479,0,0.6931471805599453,1.6094379124341003,1,1,0,0,2,0,0,0,0,1,2,1,0,6.0,0.023809523809523808,0
151954,11.46,1,109,16,23,4,1,0.10091743119266056,2,1,0,8.82,1,0.0,0,1,1,0.6931471805599453,2.2844211223663744,0.0,60,2,0,5,1,32142,1,46,0.1130498703911479,0,1.3862943611198906,4.568842244732749,0,0,0,0,2,0,1,0,0,0,2,0,0,3.2,0.01818181818181818,0
25549,12.795000000000002,1,41,7,0,0,0,0.12195121951219512,4,24,1,0.0,0,0.0,0,3,24,3.2188758248682006,0.0,0.0,82,2,0,2,1,17196,1,70,2.5163803983976294,2,6.437751649736401,0.0,0,0,0,0,2,1,0,0,1,1,3,1,0,3.5,0.09523809523809523,0
210101,29.99,1,153,25,24,4,1,0.1503267973856209,4,12,1,17.0,1,0.0,0,4,12,2.5649493574615367,2.8903717578961645,0.0,6,1,0,5,1,3281,0,6,1.4044374687879002,1,2.5649493574615367,2.8903717578961645,0,0,0,0,1,1,0,0,1,1,2,0,0,2.5,0.025974025974025976,0
22348,17.49,1,187,32,23,4,1,0.13368983957219252,1,1,0,0.0,0,0.0,0,1,1,0.6931471805599453,0.0,0.0,1,1,0,6,1,3960,0,1,0.13869916990648312,0,0.6931471805599453,0.0,0,0,0,1,2,0,0,0,0,1,4,1,1,10.666666666666666,0.005319148936170213,0
69365,79.99,1,115,21,22,4,1,0.13043478260869565,3,12,1,4.4,1,0.0,0,2,12,2.5649493574615367,1.6863989535702288,0.0,21,1,0,10,1,10480,0,6,0.8000152674669364,1,2.5649493574615367,1.6863989535702288,0,0,0,0,1,1,0,0,1,1,2,1,0,7.0,0.02586206896551724,0
43008,11.1,1,142,19,23,4,1,0.09859154929577464,3,120,1,2.4,1,2.4,1,2,120,4.795790545596741,1.2237754316221157,1.2237754316221157,14,1,0,9,1,10480,0,3,8.000152674669364,1,4.795790545596741,1.2237754316221157,1,1,0,0,2,1,0,1,1,0,2,1,0,4.75,0.02097902097902098,0
182264,7.99,1,41,7,0,0,0,0.12195121951219512,3,9,1,3.77,1,0.0,0,2,9,2.302585092994046,1.5623463049002497,0.0,14,1,0,7,1,10480,0,8,0.6000114506002023,1,2.302585092994046,1.5623463049002497,0,0,0,0,1,1,0,0,1,1,2,1,0,7.0,0.07142857142857142,0
117130,26.13,1,61,11,0,0,0,0.11475409836065574,3,1,0,5.17,1,0.0,0,2,1,0.6931471805599453,1.8196988379172965,0.0,19,1,0,8,1,32142,1,7,0.1130498703911479,0,0.6931471805599453,1.8196988379172965,0,0,0,0,1,0,0,0,0,1,0,0,0,2.75,0.04838709677419355,0
236193,42.495,1,78,13,0,0,0,0.14102564102564102,3,6,1,8.5,1,0.0,0,2,6,1.9459101490553132,2.2512917986064953,0.0,43,2,0,7,1,32142,1,21,0.6782992223468874,2,3.8918202981106265,4.502583597212991,0,0,0,0,2,1,0,0,1,1,2,1,0,4.333333333333333,0.0379746835443038,0
202733,29.99,1,131,21,22,4,1,0.13740458015267176,1,1,0,0.0,0,0.0,0,1,1,0.6931471805599453,0.0,0.0,60,2,0,1,1,1451,0,0,0.15281727224855185,0,1.3862943611198906,0.0,0,0,0,0,2,0,0,0,0,1,1,0,1,4.2,0.007575757575757576,0
35395,1.755,1,57,9,0,0,0,0.10526315789473684,3,8,1,0.0,0,0.0,0,2,8,2.1972245773362196,0.0,0.0,298,3,1,8,1,32142,1,190,0.9043989631291832,3,6.591673732008658,0.0,0,0,0,0,3,1,0,0,1,1,3,1,0,4.5,0.05172413793103448,0
66928,24.01,1,56,9,0,0,0,0.125,2,4,1,266.0,1,0.0,0,2,4,1.6094379124341003,5.58724865840025,0.0,10,1,0,8,1,1463,0,2,0.6847648022466651,1,1.6094379124341003,5.58724865840025,0,0,0,0,1,1,0,0,1,1,2,1,0,9.0,0.03508771929824561,0
201717,19.725,1,51,10,0,0,0,0.19607843137254902,1,1,0,99.0,1,0.0,0,1,1,0.6931471805599453,4.605170185988092,0.0,11,1,0,3,1,10480,0,6,0.06666793895557803,0,0.6931471805599453,4.605170185988092,0,0,0,0,1,0,0,0,0,1,0,0,0,5.0,0.019230769230769232,0
239169,15.74,1,192,30,23,4,1,0.109375,1,1,0,1.0,1,0.0,0,1,1,0.6931471805599453,0.6931471805599453,0.0,985,3,1,4,1,3281,0,371,0.11703645573232502,0,2.0794415416798357,2.0794415416798357,0,0,0,1,4,0,0,0,0,1,4,0,1,4.285714285714286,0.0051813471502590676,0
191671,16.99,1,41,7,0,0,0,0.3170731707317073,1,1,0,0.0,0,375.0,1,1,1,0.6931471805599453,0.0,5.929589143389895,31,1,0,1,1,32142,1,25,0.1130498703911479,0,0.6931471805599453,0.0,0,0,0,0,1,0,0,0,0,1,0,0,0,3.5,0.023809523809523808,0
240701,33.56,1,70,11,24,5,1,0.11428571428571428,3,9,1,0.0,0,0.0,0,2,9,2.302585092994046,0.0,0.0,174,3,1,8,1,17196,1,23,0.943642649399111,3,6.907755278982138,0.0,1,1,0,0,4,1,0,0,1,1,2,1,0,5.5,0.04225352112676056,0
172422,16.99,1,39,8,23,4,1,0.10256410256410256,2,1,0,32.0,1,0.0,0,2,1,0.6931471805599453,3.4965075614664802,0.0,2,1,0,5,1,1404,0,1,0.2233179576904724,0,0.6931471805599453,3.4965075614664802,0,0,0,0,1,0,0,0,0,1,4,1,0,4.0,0.05,0
166878,4.99,1,146,25,24,4,1,0.1780821917808219,3,12,1,4.23,1,0.0,0,2,12,2.5649493574615367,1.6544112780768316,0.0,4,1,0,6,1,10480,0,1,0.8000152674669364,1,2.5649493574615367,1.6544112780768316,0,0,0,0,1,1,0,0,1,1,5,1,0,8.333333333333334,0.02040816326530612,1
31920,14.61,1,39,6,0,0,0,0.3076923076923077,1,1,0,8.0,1,0.0,0,1,1,0.6931471805599453,2.1972245773362196,0.0,192,3,1,7,1,1463,0,18,0.17119120056166628,0,2.0794415416798357,6.591673732008658,0,0,0,0,3,0,0,0,0,1,0,0,0,3.0,0.025,0
247546,17.99,1,100,19,23,4,1,0.14,2,90,1,2.0,1,0.0,0,2,90,4.51085950651685,1.0986122886681098,0.0,1,1,0,3,1,10480,0,1,6.000114506002023,1,4.51085950651685,1.0986122886681098,0,0,1,0,1,2,0,0,1,1,6,1,0,19.0,0.019801980198019802,0
7411,2.6,1,79,13,22,4,1,0.11392405063291139,3,6,1,27.0,1,0.0,0,2,6,1.9459101490553132,3.332204510175204,0.0,6,1,0,6,1,32142,1,5,0.6782992223468874,1,1.9459101490553132,3.332204510175204,0,0,0,0,1,1,0,0,1,1,0,0,0,13.0,0.0375,0
218503,7.465,1,151,26,21,4,1,0.13245033112582782,2,1,0,3.0,1,3.0,1,2,1,0.6931471805599453,1.3862943611198906,1.3862943611198906,30,1,0,8,1,32142,1,19,0.1130498703911479,0,0.6931471805599453,1.3862943611198906,1,1,0,0,2,0,0,0,0,1,2,1,0,26.0,0.013157894736842105,0
86106,32.49,1,114,21,24,4,1,0.12280701754385964,2,100,1,4.0,1,0.0,0,2,100,4.61512051684126,1.6094379124341003,0.0,2,1,0,5,1,3535,0,1,19.00129004515158,1,4.61512051684126,1.6094379124341003,0,0,0,0,1,1,0,0,1,1,5,0,0,21.0,0.017391304347826087,0
115306,14.99,1,76,13,22,4,1,0.618421052631579,5,6,1,10.6,1,0.0,0,4,6,1.9459101490553132,2.451005098112319,0.0,11,1,0,1,1,32142,1,5,0.6782992223468874,1,1.9459101490553132,2.451005098112319,1,1,0,0,2,1,0,0,1,1,2,1,0,13.0,0.06493506493506493,0
